MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
7.4,2.2,0.8,1.9,40.5,0.2,0.5,50,0.4,0.9,45,0.4,1.3,1.6,0.2,0.5,0,0.6,1,0,0,-0.2
13.7,5,1.9,4.6,40.3,0.7,2,37.5,0.5,0.6,80,0.3,0.8,1.1,1.9,1,0.4,0.1,1.4,0,0,-0.5
28.7,12.7,4.9,10.8,45.4,1,3.3,28.8,2,2.7,71.9,1.5,3.6,5.1,1.9,1.1,0.8,0.5,2.2,7,0,-2
3.3,0.2,0,0.8,0,0,0.4,0,0.2,0.4,50,0,0.6,0.6,0.6,0,0,0,0.4,0,0,-1
7.5,3.5,1.3,3,42.6,0.2,0.8,20,0.8,1.1,73.7,0.5,1.3,1.8,0.4,0.4,0.4,0.4,1.8,0,0,0.6
32.3,14,5.6,11.8,47.3,1.3,3.6,35.5,1.6,2,80,1.4,5.4,6.8,5,1.7,0.8,1.3,2,8,0,3.2
14.1,8.1,3.6,7.1,49.9,0,0,0,1,1.3,76.5,1.1,3.1,4.2,0.9,0.5,0.3,0.2,1.9,1,0,-1.5
29.1,8.7,3,7.6,39.3,1.1,3.5,33,1.6,2.2,70.6,1.3,6.1,7.4,1.6,1.5,1,0.7,1.7,4,0,0.4
10.3,2.9,1,2.7,37.5,0.5,1.5,31.8,0.4,0.5,75,0.1,0.7,0.8,0.4,0.2,0.1,0,1.2,0,0,-2.6
15.1,7.4,2.9,5.7,51.7,0,0,0,1.5,2.4,62.5,2,4.2,6.2,0.5,0.8,0.6,0.7,2.7,15,0,0
15.5,6.7,2.4,5.9,39.9,0.6,1.8,32.9,1.4,1.9,76.9,0.4,2.5,2.9,0.7,0.8,0.4,0.1,1.2,0,0,0
15.5,6,2,5,39.3,1.4,3.6,38.1,0.6,0.7,89.8,0.3,1,1.3,0.6,0.5,0.5,0.1,1.7,0,0,0
20.3,8,3,6,49.7,0,0.2,25,1.9,2.7,72.1,2,4.6,6.6,0.6,1.3,0.5,1.3,3.1,11,0,-5.2
26.1,10.7,4.2,9,46.3,1,3.2,31.6,1.3,1.7,80,1.8,3,4.8,0.8,0.5,0.5,0.3,2.3,0,0,-6
15,5.3,2.3,4.6,50,0,0.1,0,0.7,1,72.5,1.2,3.4,4.5,0.3,0.8,0.5,0.6,2,1,0,-1.5
28.5,10.7,3.8,8.2,46.8,1.7,3.8,44.4,1.3,1.6,84.7,0.2,2.6,2.9,1.2,0.8,0.7,0.3,2.2,0,0,-1.5
6.9,0.8,0.2,1.1,21.4,0,0.2,0,0.4,0.7,55.6,0.3,0.8,1.2,0.5,0.3,0.4,0.1,1.1,0,0,-1.4
20.1,6.5,2.7,4.6,57.6,0.3,0.8,40.9,0.8,1.3,67,1.5,3.1,4.6,1.8,1,0.6,0.8,2.6,0,0,2.6
6.6,1.3,0.4,1,35.7,0,0,0,0.6,0.8,72.7,0.9,1.1,1.9,0.7,0.6,0.2,0.2,1.1,0,0,-2.1
29.7,13.6,6,11.2,53,0,0.1,28.6,1.7,4.4,38.6,4.3,9.5,13.8,1.1,1.9,1.5,1.1,2.9,49,0,-3.4
26.3,7.6,2.9,5.5,52.8,0.8,2.3,36.2,0.9,1.3,70.6,0.7,3.3,4,3.4,0.8,1,0.5,1.3,0,0,6.9
30.1,6.6,2.7,5.9,46.4,0.6,2.3,24.5,0.6,1.4,42.3,1.2,3.9,5.1,1,0.6,1.2,1,2.6,2,0,1.8
21.6,2.9,1.4,3,46.9,0,0,0,0.1,0.4,27.3,2.1,6,8.1,1.8,1.6,0.5,0.9,3.2,0,0,-1.3
20.5,5.9,1.6,5,32.5,0.6,2.2,27.6,2.1,2.7,76.3,0.3,1.6,1.9,2.8,1.2,0.7,0.3,2.7,0,0,-0.4
9,2.6,1.1,2.9,38.7,0.1,0.7,18.5,0.2,0.4,64.3,0.4,1.2,1.6,0.3,0.4,0.4,0.2,1.4,0,0,-3.4
37.2,23.6,8.6,19.1,45.2,1.3,3.5,35.6,5,6.6,76,1.2,2.8,4,2.3,2.3,1,0.4,2.2,1,0,-0.2
11.5,5,1.7,4,41.3,0.6,2.1,27.1,1.1,1.6,72.2,1.1,2.3,3.4,0.5,0.5,0.2,0.1,0.8,0,0,-3
14.5,3.9,1.6,4.5,36,0.6,2.5,25.9,0,0,0,0.7,2.3,3,0.7,0.5,0.5,0.1,1.4,0,0,0.4
36.1,28,10.3,20.3,50.5,0.5,1.8,29.9,6.9,8.6,80.2,2.3,9.5,11.8,2.1,2.4,1.3,2.2,2.2,49,0,0.7
14.6,5.5,2,5.1,38.9,0.8,2.7,30.8,0.7,0.8,91.9,0.2,0.4,0.6,0.5,0.1,0.5,0,0.9,0,0,0.4
22.7,7.1,2.4,5.4,44.2,1.4,3.5,39.1,0.9,1.3,74.4,0.8,2.9,3.6,1.2,0.9,0.5,0.3,1.7,1,0,-1.5
